ÃÄ«~¥N½X,ÃÄ«~¦WºÙ,¼Æ¶q
AC21845321,BETAMETHASONE 1MG/GM + NEOMYCIN 5MG/GM + NYLIDRIN 1MG/GM + DIPHENYLPYRALINE 1MG/GM¡A ¥~¥Î³n»I¾¯¡A 5.00GM,295
AC21845329,BETAMETHASONE 1MG/GM + NEOMYCIN 5MG/GM + NYLIDRIN 1MG/GM + DIPHENYLPYRALINE 1MG/GM¡A ¥~¥Î³n»I¾¯¡A 10.00GM,45
AC21871100,MEBENDAZOLE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 100.00 MG,60
AC21875100,LOPERAMIDE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 2.00 MG,41774.8
AC21882100,ESCIN 3.2MG + VITAMIN B1 500MCG¡A ¤@¯ë¿õ¾¯½¦Ån¾¯¡A,5915385.2
AC21886100,BETAMETHASONE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 500.00 MCG,98130
AC21887429,TRIAMCINOLONE ¡A ¤f¤º»I ¡A 1.00  MG/GM ¡A 10.00 GM,14
AC21890100,DICLOFENAC ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 25.00 MG,219688.2
AC21893209,METHYLERGONOVINE ¡A ª`®g¾¯ ¡A 200.00 MCG,40056.6
AC21905100,TETRACYCLINE PHOSPHATE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 500.00 MG,0
AC21923100,SODIUM BICARBONATE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 300.00 MG,5671192.5
AC219231G0,SODIUM BICARBONATE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 300.00 MG,292445
AC21924321,TRIAMCINOLONE 1MG/GM + GRAMICIDIN 0.25MG/GM + NYSTATIN 100KIU/GM + NEOMYCIN 2.5MG/GM¡A ¥~¥Î³n»I¾¯¡A 5.00GM,93349.4
AC21924323,TRIAMCINOLONE 1MG/GM + GRAMICIDIN 0.25MG/GM + NYSTATIN 100KIU/GM + NEOMYCIN 2.5MG/GM¡A ¥~¥Î³n»I¾¯¡A 6.00GM,489551.5
AC21924329,TRIAMCINOLONE 1MG/GM + GRAMICIDIN 0.25MG/GM + NYSTATIN 100KIU/GM + NEOMYCIN 2.5MG/GM¡A ¥~¥Î³n»I¾¯¡A 10.00GM,145557.5
AC21924336,TRIAMCINOLONE 1MG/GM + GRAMICIDIN 0.25MG/GM + NYSTATIN 100KIU/GM + NEOMYCIN 2.5MG/GM¡A ¥~¥Î³n»I¾¯¡A 16.00GM,334159.6
AC21924338,TRIAMCINOLONE 1MG/GM + GRAMICIDIN 0.25MG/GM + NYSTATIN 100KIU/GM + NEOMYCIN 2.5MG/GM¡A ¥~¥Î³n»I¾¯¡A 20.00GM,897032.3
AC21924399,TRIAMCINOLONE 1MG/GM + GRAMICIDIN 0.25MG/GM + NYSTATIN 100KIU/GM + NEOMYCIN 2.5MG/GM¡A ¥~¥Î³n»I¾¯¡A 1.00GM,0
AC21959209,BETAMETHASONE ¡A ª`®g¾¯ ¡A 4.00 MG,37381.3
AC21959221,BETAMETHASONE ¡A ª`®g¾¯ ¡A 20.00 MG,3
AC21959229,BETAMETHASONE ¡A ª`®g¾¯ ¡A 40.00 MG,0
AC21961100,CEFADROXIL ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 500.00 MG,58059.5
AC21965100,LYSOZYME ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 30.00 MG,437
AC21978221,DOPAMINE ¡A ª`®g¾¯ ¡A 200.00 MG,681
AC21981417,TRIAMCINOLONE ¡A ¤f¤º»I ¡A 1.00  MG/GM ¡A 3.50 GM,6085.5
AC21981421,TRIAMCINOLONE ¡A ¤f¤º»I ¡A 1.00  MG/GM ¡A 5.00 GM,136028.9
AC21981423,TRIAMCINOLONE ¡A ¤f¤º»I ¡A 1.00  MG/GM ¡A 6.00 GM,397768.5
AC21996100,OPIUM 2.5MG + ANTIMONY POTASSIUM TARTRATE 1MG + GLYCYRRHIZIC ACID 45MG¡A ¤@¯ë¿õ¾¯½¦Ån¾¯¡A,1147
AC219961G0,OPIUM 2.5MG + ANTIMONY POTASSIUM TARTRATE 1MG + GLYCYRRHIZIC ACID 45MG¡A ¤@¯ë¿õ¾¯½¦Ån¾¯¡A,13387
AC22010212,VITAMIN B12 ¡A ª`®g¾¯ ¡A 5000.00 MCG,2042
AC22036100,DIAZEPAM ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 5.00 MG,0
AC22043100,ACETAMINOPHEN 450MG + CHLORMEZANONE 100MG¡A ¤@¯ë¿õ¾¯½¦Ån¾¯¡A,5689.5
AC22049209,DIPHENHYDRAMINE ¡A ª`®g¾¯ ¡A 30.00 MG(= DIMENHYDRINATE 60.00MG),357122.4
AC22069100,SILYMARIN ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 70.00 MG,131679
AC22083238,VITAMIN B1 (THIAMINE) ¡A ª`®g¾¯ ¡A 20.00 MG,1
AC22084100,THEOPHYLLINE 75-300MG + GUAIFENESIN 50-100MG¡A ¤@¯ë¿õ¾¯½¦Ån¾¯,241736.9
AC22096151,CYPROHEPTADINE ¡A ¤fªA²G¾¯ ¡A 0.40  MG/ML ¡A 60.00 ML,0
AC22100100,LYSOZYME ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 30.00 MG,703
AC22105100,CEPHALEXIN ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 500.00 MG,5032749.9
AC221051G0,CEPHALEXIN ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 500.00 MG,185029.6
AC22123100,LOPERAMIDE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 2.00 MG,253345.8
AC221231G0,LOPERAMIDE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 2.00 MG,2745809.5
AC22150100,DEXTROMETHORPHAN ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 30.00 MG,2260599.5
AC221501G0,DEXTROMETHORPHAN ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 30.00 MG,136962.6
AC22189100,CIMETIDINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 200.00 MG,4842
AC22190100,CIMETIDINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 200.00 MG,340570.2
AC22198421,GENTAMICIN ¡A ²´¥Î²G¾¯ ¡A 3.00  MG/ML ¡A 5.00 ML,66624.2
AC22207100,DICLOFENAC ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 25.00 MG,757742.1
AC222071G0,DICLOFENAC ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 25.00 MG,100841.5
AC22209100,CHLORZOXAZONE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 200.00 MG,1724422.2
AC222091G0,CHLORZOXAZONE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 200.00 MG,2165816.6
AC22211100,LORAZEPAM ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 0.50 MG,273514.5
AC222111G0,LORAZEPAM ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 0.50 MG,1778064.6
AC22223100,IBUPROFEN ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 400.00 MG,6028058.7
AC22225100,NITROXOLINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 50.00 MG,346
AC22227100,METAPROTERENOL 5MG + DOXYLAMINE 7.5MG + BROMHEXINE 8MG¡A ¤@¯ë¿õ¾¯½¦Ån¾¯¡A,734876.1
AC222271G0,METAPROTERENOL 5MG + DOXYLAMINE 7.5MG + BROMHEXINE 8MG¡A ¤@¯ë¿õ¾¯½¦Ån¾¯¡A,37269
AC22265100,OXETHAZAINE 10MG + ALUMINUM MAGNESIUM SILICATE 244MG¡A ¤@¯ë¿õ¾¯½¦Ån¾¯¡A,196303
AC222651G0,OXETHAZAINE 10MG + ALUMINUM MAGNESIUM SILICATE 244MG¡A ¤@¯ë¿õ¾¯½¦Ån¾¯¡A,48876
AC22272209,HALOPERIDOL ¡A ª`®g¾¯ ¡A 5.00 MG,144735
AC22274100,LOPERAMIDE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 2.00 MG,5693
AC22289100,LOPERAMIDE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 2.00 MG,24613
AC222891G0,LOPERAMIDE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 2.00 MG,3676749.3
AC22296100,CIMETIDINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 200.00 MG,1198479.5
AC222961G0,CIMETIDINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 200.00 MG,585511.5
AC22297135,HALOPERIDOL ¡A ¤fªA²G¾¯ ¡A 2.00  MG/ML ¡A 15.00 ML,1
AC22314100,POTASSIUM GLUCONATE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 595.00 MG,250297
AC22345100,CIMETIDINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 200.00 MG,0
AC223451G0,CIMETIDINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 200.00 MG,0
AC22355419,DEXAMETHASONE ¡A ¤f¤º»I ¡A 1 MG/GM ¡A 4 GM,2694.9
AC22355426,DEXAMETHASONE ¡A ¤f¤º»I ¡A 1.00  MG/GM ¡A 8.00 GM,0
AC22357100,LYSOZYME ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 30.00 MG,318201
AC223571G0,LYSOZYME ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 30.00 MG,327187.3
AC22392321,BETAMETHASONE (VALERATE) 1MG/GM + NEOMYCIN 3.5MG/GM¡A ¥~¥Î³n»I¾¯¡A 5.00GM,4206
AC22392329,BETAMETHASONE (VALERATE) 1MG/GM + NEOMYCIN 3.5MG/GM¡A ¥~¥Î³n»I¾¯¡A 10.00GM,430
AC22404100,LITHIUM CARBONATE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 300.00 MG,3346615
AC224041G0,LITHIUM CARBONATE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 300.00 MG,28
AC22408100,CIMETIDINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 200.00 MG,1799
AC22441100,NAPROXEN ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 250.00 MG,613
AC22442100,BROMELAIN ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 100.00 MG,208286.5
AC22444100,CIMETIDINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 200.00 MG,887575.4
AC224441G0,CIMETIDINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 200.00 MG,90222.5
AC22448100,ACETAMINOPHEN 450MG + ORPHENADRINE 35MG¡A ¤@¯ë¿õ¾¯½¦Ån¾¯,3998057.8
AC224481G0,ACETAMINOPHEN 450MG + ORPHENADRINE 35MG¡A ¤@¯ë¿õ¾¯½¦Ån¾¯,315323.5
AC22459209,GENTAMICIN ¡A ª`®g¾¯ ¡A 140.00 MG,15
AC22459229,GENTAMICIN ¡A ª`®g¾¯ ¡A 1400.00 MG,5.4
AC22461238,SODIUM SALICYLATE 20MG/ML + CHONDROITIN 10MG/ML¡A  ª`®g¾¯¡A  20.00ML,498
AC22465212,CIMETIDINE ¡A ª`®g¾¯ ¡A 200.00 MG,3
AC22470100,DEXAMETHASONE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 500.00 MCG,99162
AC22476216,ACETYLCYSTEINE ¡A ª`®g¾¯ ¡A 300.00 MG,493465.5
AC22507100,ESTROGEN CONJUGATED ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 1250.00 MCG,3519
AC22534100,COLCHICINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 500-650 MCG,864269
AC225341G0,COLCHICINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 500-650 MCG,348609.1
AC22535100,BETAMETHASONE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 500.00 MCG,17556
AC225351G0,BETAMETHASONE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 500.00 MCG,4290
AC22554100,LOPERAMIDE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 2.00 MG,200133.7
AC225541G0,LOPERAMIDE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 2.00 MG,50811
AC22557100,LYSOZYME ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 50.00 MG,1840082.4
AC225571G0,LYSOZYME ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 50.00 MG,572540.5
AC22559100,CIMETIDINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 200.00 MG,150913.1
AC225591G0,CIMETIDINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 200.00 MG,42406
AC22565212,KETOPROFEN ¡A ª`®g¾¯ ¡A 50.00 MG,5349.9
AC22565216,KETOPROFEN ¡A ª`®g¾¯ ¡A 75.00 MG,2045.2
AC22565238,KETOPROFEN ¡A ª`®g¾¯ ¡A 500.00 MG,232.5
AC22568212,CIMETIDINE ¡A ª`®g¾¯ ¡A 200.00 MG,64132
AC22568216,CIMETIDINE ¡A ª`®g¾¯ ¡A 300.00 MG,17
AC22569100,CIMETIDINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 200.00 MG,293417
AC225691G0,CIMETIDINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 200.00 MG,225449.2
AC22572100,TETRACYCLINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 500.00 MG,21619
AC225721G0,TETRACYCLINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 500.00 MG,19103
AC22586100,LOPERAMIDE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 2.00 MG,25695.5
AC22588209,DIPHENHYDRAMINE ¡A ª`®g¾¯ ¡A 30.00 MG(= DIMENHYDRINATE 60.00MG),91178.5
AC22622212,CIMETIDINE ¡A ª`®g¾¯ ¡A 200.00 MG,62795.8
AC22630100,LORAZEPAM ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 1.00 MG,67819
AC226341G0,GLYBURIDE (=GLIBENCLAMIDE) ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 5.00 MG,19022
AC22641100,FUROSEMIDE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 40.00 MG,40342.7
AC226411G0,FUROSEMIDE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 40.00 MG,7265079.9
AC22656100,DICYCLOMINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 10.00 MG,242821.4
AC22658100,MEFENAMIC ACID ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 250.00 MG,770041.7
AC22666209,DEXTROSE ¡Ø 50MG/ML + SODIUM CHLORIDE 3.0-4.5MG/ML¡A ª`®g¾¯¡A 501-1000 ML,9
AC22666277,DEXTROSE¡Ø  50MG/ML  + SODIUM CHLORIDE 3.0-4.5MG/ML¡A ª`®g¾¯¡A 251-500 ML,299593.2
AC22674100,MEFENAMIC ACID ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 500.00 MG,253113.6
AC22682265,DEXTROSE ¡Ø100MG/ML + ELECTROLYTES¡A ª`®g¾¯¡A ¡Ø250ML,14976
AC22682271,DEXTROSE ¡Ø 100MG/ML + ELECTROLYTES¡A ª`®g¾¯¡A 251-500 ML,1288435.8
AC22682277,DEXTROSE ¡Ø 100MG/ML + ELECTROLYTES¡A ª`®g¾¯¡A 251-500 ML,387959.1
AC22685100,CIMETIDINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 200.00 MG,77379.5
AC22701266,3.0% AMINO ACIDS ¡A ª`®g¾¯ ¡A 3.00  %¡A 300.00 ML,112
AC22701277,3.0% AMINO ACIDS ¡A ª`®g¾¯ ¡A 3.00  %¡A 500.00 ML,13
AC22723100,DIPYRIDAMOLE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 25.00 MG,12177
AC22729212,GENTAMICIN ¡A ª`®g¾¯ ¡A 80.00 MG,74
AC22729229,GENTAMICIN ¡A ª`®g¾¯ ¡A 400.00 MG,3495.4
AC22743100,CIMETIDINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 200.00 MG,1160521.8
AC227431G0,CIMETIDINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 200.00 MG,102591
AC22746100,CIMETIDINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 200.00 MG,403110.5
AC22767500,MICONAZOLE ¡A ³±¹D¥Î¿õ¾¯½¦Ån¾¯ ¡A 100.00 MG,422
AC22786100,LORAZEPAM ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 1.00 MG,10461
AC227861G0,LORAZEPAM ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 1.00 MG,13765
AC22796212,KETOPROFEN ¡A ª`®g¾¯ ¡A 100.00 MG,105.7
AC22801100,TOLPERISONE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 100.00 MG,219880.5
AC22814229,GENTAMICIN ¡A ª`®g¾¯ ¡A 400.00 MG,194.5
AC22815100,LORAZEPAM ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 0.50 MG,416
AC228151G0,LORAZEPAM ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 0.50 MG,79.5
AC22816100,LORAZEPAM ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 1.00 MG,9403131.4
AC228161G0,LORAZEPAM ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 1.00 MG,16931266.3
AC22819100,LORAZEPAM ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 1.00 MG,28748
AC228191G0,LORAZEPAM ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 1.00 MG,28264
AC22836100,CIMETIDINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 300.00 MG,162643
AC228361G0,CIMETIDINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 300.00 MG,1082910.5
AC22840209,ATROPINE ¡A ª`®g¾¯ ¡A 1.00 MG,1
AC22852100,DIPHENIDOL ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 25.00 MG,334717.7
AC22867421,TRIAMCINOLONE 1MG/ML + GRAMICIDIN 0.25MG/ML + NEOMYCIN 2.5MG/ML + NYSTATIN 100KIU/ML¡A ¦Õ»ó¥Î²G¾¯¡A 5.00ML,213901.4
AC22876100,LYSOZYME ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 30.00 MG,5155554
AC22879100,ALUMINUM DIHYDROXYALLANTOINATE (=ALDIOXA) ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 100.00 MG,0
AC22890100,LYSOZYME ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 30.00 MG,1580116.9
AC22908100,SPIRONOLACTONE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 25.00 MG,3635307.2
AC229081G0,SPIRONOLACTONE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 25.00 MG,3516188.6
AC22920417,HYDROCORTISONE 5MG/GM + CHLORAMPHENICOL 10MG/GM¡A ²´¦Õ»ó¥Î³n»I¡A 3.50GM,2222
AC22952289,CEFUROXIME ¡A ª`®g¾¯ ¡A 750.00 MG,3
AC22960100,ZINC¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 10.00 MG,6833999.2
AC22964100,BENZBROMARONE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 100.00 MG,156372.5
AC229641G0,BENZBROMARONE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 100.00 MG,98000
AC22971100,DICLOFENAC ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 25.00 MG,375
AC22987100,METOCLOPRAMIDE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 3.84-5.00 MG,9
AC229871G0,METOCLOPRAMIDE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 3.84-5.00 MG,1430
AC22995100,CIMETIDINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 200.00 MG,2083204.4
AC229951G0,CIMETIDINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 200.00 MG,203247.9
AC23023209,DIPHENIDOL ¡A ª`®g¾¯ ¡A 20.00 MG,177.8
AC23023212,DIPHENIDOL ¡A ª`®g¾¯ ¡A 40.00 MG,635.8
AC23028100,CIMETIDINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 200.00 MG,30
AC23037100,PROPRANOLOL ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 10.00 MG,0
AC230371G0,PROPRANOLOL ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 10.00 MG,0
AC23041100,ALLOPURINOL ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 100.00 MG,12876
AC23054100,DIPHENIDOL ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 25.00 MG,86164.5
AC23102100,MEFENAMIC ACID ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 500.00 MG,441275.2
AC231021G0,MEFENAMIC ACID ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 500.00 MG,10277
AC23114212,GENTAMICIN ¡A ª`®g¾¯ ¡A 120.00 MG,69
AC23131321,LIDOCAINE 30MG/GM + PREDNISOLONE1. 25MG/GM + CHLORPHENIRAMINE 10MG/GM +  CAMPHOR 5MG/GM+MENTHOL OIL 5MG/GM+ METHYL SALICYLATE 5MG/GM¡A¥~¥Î³n»I¾¯¡A5.00GM,49
AC23131329,LIDOCAINE 30MG/GM + PREDNISOLONE1. 25MG/GM + CHLORPHENIRAMINE 10MG/GM +  CAMPHOR 5MG/GM+MENTHOL OIL 5MG/GM+ METHYL SALICYLATE 5MG/GM¡A¥~¥Î³n»I¾¯¡A10.00GM,2
AC23133323,TRIAMCINOLONE 1MG/GM + GRAMICIDIN 0.25MG/GM + NYSTATIN 100KIU/GM + NEOMYCIN 2.5MG/GM¡A ¥~¥Î³n»I¾¯¡A 6.00GM,102338.1
AC23133329,TRIAMCINOLONE 1MG/GM + GRAMICIDIN 0.25MG/GM + NYSTATIN 100KIU/GM + NEOMYCIN 2.5MG/GM¡A ¥~¥Î³n»I¾¯¡A 10.00GM,664
AC23133330,TRIAMCINOLONE 1MG/GM + GRAMICIDIN 0.25MG/GM + NYSTATIN 100KIU/GM + NEOMYCIN 2.5MG/GM¡A ¥~¥Î³n»I¾¯¡A 12.00GM,27872.2
AC23133335,TRIAMCINOLONE 1MG/GM + GRAMICIDIN 0.25MG/GM + NYSTATIN 100KIU/GM + NEOMYCIN 2.5MG/GM¡A ¥~¥Î³n»I¾¯¡A 15.00GM,4419.5
AC23135100,CIMETIDINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 200.00 MG,81781.5
AC231351G0,CIMETIDINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 200.00 MG,59248
AC231431G0,PSEUDOEPHEDRINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 60.00 MG,395583.5
AC23150421,NEOSTIGMINE ¡A ²´¥Î²G¾¯ ¡A 0.05  MG/ML ¡A 5.00 ML,39895
AC23150429,NEOSTIGMINE ¡A ²´¥Î²G¾¯ ¡A 0.05  MG/ML ¡A 10.00 ML,18885.1
AC23152100,ERGOTAMINE 1MG + CAFFEINE 100MG¡A ¤@¯ë¿õ¾¯½¦Ån¾¯¡A,39191
AC23156221,TRANEXAMIC ACID ¡A ª`®g¾¯ ¡A 250.00 MG,0
AC23169500,CLOTRIMAZOLE ¡A ³±¹D¥Î¿õ¾¯½¦Ån¾¯ ¡A 100.00 MG,144912
AC23186100,BETAMETHASONE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 500.00 MCG,35447.5
AC23194100,SALBUTAMOL ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 4.00 MG,39076.2
AC231941G0,SALBUTAMOL ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 4.00 MG,303.2
AC23196100,PIRENZEPINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 25.00 MG,12
AC23220100,TRANEXAMIC ACID ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 250.00 MG,63748.5
AC23234100,PIPEMIDIC ACID ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 250.00 MG,0
AC23239100,AMOXICILLIN ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 500.00 MG,10876072
AC232391G0,AMOXICILLIN ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 500.00 MG,830335.3
AC23253100,TRANEXAMIC ACID ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 250.00 MG,0
AC23264100,AMOXICILLIN ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 250.00 MG,3729547.8
AC232641G0,AMOXICILLIN ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 250.00 MG,43282.5
AC23297100,DEXTROMETHORPHAN ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 30.00 MG,212794.1
AC23309100,OXOLAMINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 100.00 MG,231217
AC23312277,3.0% AMINO ACIDS+XYLITOL+ELECTROLYTE SOLUTIONS ¡A ª`®g¾¯ ¡A 3.00  %¡A 500.00 ML,110
AC23318100,DIPHENIDOL ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 25.00 MG,708576
AC233181G0,DIPHENIDOL ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 25.00 MG,69233.7
AC23320100,NITROFURANTOIN ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 100.00 MG,0
AC23321100,DIPYRIDAMOLE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 12.50 MG,0
AC23322100,MEFENAMIC ACID ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 250.00 MG,51192.5
AC23341216,DICLOFENAC ¡A ª`®g¾¯ ¡A 75.00 MG,9
AC23342100,LORAZEPAM ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 1.00 MG,58684.5
AC233421G0,LORAZEPAM ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 1.00 MG,15734
AC23353100,ACETAMINOPHEN 325MG + ORPHENADRINE 50MG¡A ¤@¯ë¿õ¾¯½¦Ån¾¯,413333.9
